influencer_name,follower_count,Influencer_page_url
happy_food_in_porto,935.0,https://www.instagram.com/happy_food_in_porto/
unlimitedportugal,86000.0,https://www.instagram.com/unlimitedportugal/
lanonnaporto,1983.0,https://www.instagram.com/lanonnaporto/
luisbriones79,218.0,https://www.instagram.com/luisbriones79/
donantonia_pastelaria,3399.0,https://www.instagram.com/donantonia_pastelaria/
foodenyo,3893.0,https://www.instagram.com/foodenyo/
jp_dureuil,331.0,https://www.instagram.com/jp_dureuil/
foodexplorers_madbcn,388.0,https://www.instagram.com/foodexplorers_madbcn/
eattheworld_malta,42.0,https://www.instagram.com/eattheworld_malta/
scrumptiouscookinghabits,68.0,https://www.instagram.com/scrumptiouscookinghabits/
instatraveldose,25.0,https://www.instagram.com/instatraveldose/
malvon.pt,39100.0,https://www.instagram.com/malvon.pt/
robert.catanescu,192.0,https://www.instagram.com/robert.catanescu/
tokyo_ya.portugal,1192.0,https://www.instagram.com/tokyo_ya.portugal/
pitadinhasdeamor_,2926.0,https://www.instagram.com/pitadinhasdeamor_/
marioluso.restaurante,632.0,https://www.instagram.com/marioluso.restaurante/
fabiotokyoya,12000.0,https://www.instagram.com/fabiotokyoya/
leitaodoze,1013.0,https://www.instagram.com/leitaodoze/
pepit_food,1321.0,https://www.instagram.com/pepit_food/
cheff_amadora,10300.0,https://www.instagram.com/cheff_amadora/
taste_braga,3200.0,https://www.instagram.com/taste_braga/
filipapr,12600.0,https://www.instagram.com/filipapr/
ubetterbrunch_lisbon,2390.0,https://www.instagram.com/ubetterbrunch_lisbon/
tugastore.uk,100.0,https://www.instagram.com/tugastore.uk/
teresa_vai_de_ferias_,501.0,https://www.instagram.com/teresa_vai_de_ferias_/
mpeschell,3980.0,https://www.instagram.com/mpeschell/
food_portugal,129.0,https://www.instagram.com/food_portugal/
azeiteamorecego,1545.0,https://www.instagram.com/azeiteamorecego/
estart4,239.0,https://www.instagram.com/estart4/
barcarolarestaurantes,627.0,https://www.instagram.com/barcarolarestaurantes/
malik_d_paris,138.0,https://www.instagram.com/malik_d_paris/
ldruesne,96.0,https://www.instagram.com/ldruesne/
spot.cafebar,116.0,https://www.instagram.com/spot.cafebar/
iviandesign,339.0,https://www.instagram.com/iviandesign/
le_guide_mitchlin,57.0,https://www.instagram.com/le_guide_mitchlin/
parrilhita,10000.0,https://www.instagram.com/parrilhita/
sebastien_gael,29.0,https://www.instagram.com/sebastien_gael/
saboreseacores,467.0,https://www.instagram.com/saboreseacores/
mascalzone_italian_food,1209.0,https://www.instagram.com/mascalzone_italian_food/
barbaraphot0graphy,939.0,https://www.instagram.com/barbaraphot0graphy/
wineloverstapas,119.0,https://www.instagram.com/wineloverstapas/
jackielendorf,178.0,https://www.instagram.com/jackielendorf/
weblime_pt,149.0,https://www.instagram.com/weblime_pt/
filling.pt,1384.0,https://www.instagram.com/filling.pt/
raizgastronomia_,688.0,https://www.instagram.com/raizgastronomia_/
_wine_club_,149.0,https://www.instagram.com/_wine_club_/
the_real_portugal,2550.0,https://www.instagram.com/the_real_portugal/
feito.ao.bife,184.0,https://www.instagram.com/feito.ao.bife/
maestrellaportugal,144.0,https://www.instagram.com/maestrellaportugal/
waffle_bubblegondomar,1276.0,https://www.instagram.com/waffle_bubblegondomar/
triggu.online,67.0,https://www.instagram.com/triggu.online/
pickpackfood,65.0,https://www.instagram.com/pickpackfood/
chefelaisemosquera,1053.0,https://www.instagram.com/chefelaisemosquera/
cozinha_cabral,2926.0,https://www.instagram.com/cozinha_cabral/
katrina_zusevica,441.0,https://www.instagram.com/katrina_zusevica/
taninha_90,678.0,https://www.instagram.com/taninha_90/
capanorioporto,1176.0,https://www.instagram.com/capanorioporto/
lovelyfoodpt,515.0,https://www.instagram.com/lovelyfoodpt/
tastytina,71.0,https://www.instagram.com/tastytina/
cantinhodocafe.pt,164.0,https://www.instagram.com/cantinhodocafe.pt/
marafernandaoliveirabem,215.0,https://www.instagram.com/marafernandaoliveirabem/
a_a_r_a_g_a_o,688.0,https://www.instagram.com/a_a_r_a_g_a_o/
autismonamala.pt,1004.0,https://www.instagram.com/autismonamala.pt/
achefvi,379.0,https://www.instagram.com/achefvi/
anastasia_in_portugal,3277.0,https://www.instagram.com/anastasia_in_portugal/
kanoafoz,1009.0,https://www.instagram.com/kanoafoz/
___paolitaa___,124.0,https://www.instagram.com/___paolitaa___/
belleepoque.restaurante,157.0,https://www.instagram.com/belleepoque.restaurante/
clerigostastingroom,433.0,https://www.instagram.com/clerigostastingroom/
lelichekk,1396.0,https://www.instagram.com/lelichekk/
legavroche75002,430.0,https://www.instagram.com/legavroche75002/
aroundfoodies,121.0,https://www.instagram.com/aroundfoodies/
ilbocconcino.pt,837.0,https://www.instagram.com/ilbocconcino.pt/
chhiwatbychristina,464.0,https://www.instagram.com/chhiwatbychristina/
deniseferreiradacruz,395.0,https://www.instagram.com/deniseferreiradacruz/
artforfoodies,17900.0,https://www.instagram.com/artforfoodies/
cascais4senses,2085.0,https://www.instagram.com/cascais4senses/
losamoelle.lisboa,616.0,https://www.instagram.com/losamoelle.lisboa/
danielerosa100,257.0,https://www.instagram.com/danielerosa100/
zizitopcuisinecv1,150.0,https://www.instagram.com/zizitopcuisinecv1/
smnbss1,282.0,https://www.instagram.com/smnbss1/
nomeupalato,714.0,https://www.instagram.com/nomeupalato/
papofuradoportugal,1227.0,https://www.instagram.com/papofuradoportugal/
cantinhocariocacaparica,654.0,https://www.instagram.com/cantinhocariocacaparica/
thecrickettable,2283.0,https://www.instagram.com/thecrickettable/
vcweb.pt,38.0,https://www.instagram.com/vcweb.pt/
dolcechica__,1470.0,https://www.instagram.com/dolcechica__/
jopesa85,624.0,https://www.instagram.com/jopesa85/
tati.ostrower,2633.0,https://www.instagram.com/tati.ostrower/
ramalhosasilvana,2.0,https://www.instagram.com/ramalhosasilvana/
amoraospedacoscakeshop,2607.0,https://www.instagram.com/amoraospedacoscakeshop/
djphephz,15600.0,https://www.instagram.com/djphephz/
hortidouro,395.0,https://www.instagram.com/hortidouro/
roteirodosabor,636.0,https://www.instagram.com/roteirodosabor/
breadbrunchbakery,2285.0,https://www.instagram.com/breadbrunchbakery/
breathebrunchfeel,3061.0,https://www.instagram.com/breathebrunchfeel/
heelpdelivery.pt,14200.0,https://www.instagram.com/heelpdelivery.pt/
restauranteitalia_coimbra,3304.0,https://www.instagram.com/restauranteitalia_coimbra/
stefanbevila,1202.0,https://www.instagram.com/stefanbevila/
geladosneveiros,1383.0,https://www.instagram.com/geladosneveiros/
oseubitoquept,75.0,https://www.instagram.com/oseubitoquept/
gastronomiaitalianacascais,334.0,https://www.instagram.com/gastronomiaitalianacascais/
wonder.emotion,3430.0,https://www.instagram.com/wonder.emotion/
pdqdaje,288.0,https://www.instagram.com/pdqdaje/
silviocunhafotografia.pt,9488.0,https://www.instagram.com/silviocunhafotografia.pt/
maonamassa.pt,550.0,https://www.instagram.com/maonamassa.pt/
merceariadoaviz,718.0,https://www.instagram.com/merceariadoaviz/
amorehortela.cozinhavegana,1506.0,https://www.instagram.com/amorehortela.cozinhavegana/
gordana221mn.rosequeen,5003.0,https://www.instagram.com/gordana221mn.rosequeen/
tiagomarto,2426.0,https://www.instagram.com/tiagomarto/
tiago.vba.santos,178.0,https://www.instagram.com/tiago.vba.santos/
justmeatspt,1023.0,https://www.instagram.com/justmeatspt/
iam_rex_d,256.0,https://www.instagram.com/iam_rex_d/
douahourestaurant,682.0,https://www.instagram.com/douahourestaurant/
saboresnyeg,156.0,https://www.instagram.com/saboresnyeg/
capanabaixa,1813.0,https://www.instagram.com/capanabaixa/
papa_no_bucho,206.0,https://www.instagram.com/papa_no_bucho/
fotografosilviocunha.pt,2797.0,https://www.instagram.com/fotografosilviocunha.pt/
mxm.food.drinks,1280.0,https://www.instagram.com/mxm.food.drinks/
